filename,column_name,missing_values,nan_values,infinite_values,duplicate_records,constant_column
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Dst Port,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Protocol,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Timestamp,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Flow Duration,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Tot Fwd Pkts,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Tot Bwd Pkts,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,TotLen Fwd Pkts,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,TotLen Bwd Pkts,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd Pkt Len Max,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd Pkt Len Min,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd Pkt Len Mean,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd Pkt Len Std,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Bwd Pkt Len Max,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Bwd Pkt Len Min,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Bwd Pkt Len Mean,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Bwd Pkt Len Std,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Flow Byts/s,0,2558,1492,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Flow Pkts/s,0,0,4050,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Flow IAT Mean,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Flow IAT Std,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Flow IAT Max,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Flow IAT Min,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd IAT Tot,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd IAT Mean,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd IAT Std,0,0,0,5459,False
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,Fwd IAT Max,0,0,0,5459,False
